CustomerID,State,Recency,Frequency,Monetary,ViewCount,CartCount,PurchaseCount,RFM_Segment,Churned,ChurnProbability,ChurnRisk,TopCategory,PrefPayment
38,West Bengal,348,3,74602,6,3,2,Lost,1,0.98,High Risk,Mobiles,UPI
39,Andhra Pradesh,73,6,287928,3,3,5,At Risk,0,0.02,Low Risk,Mobiles,COD
40,West Bengal,368,5,111333,1,3,8,Lost,1,0.99,High Risk,Home,COD
41,Jharkhand,35,3,68641,6,3,4,Loyal Customers,0,0.08,Low Risk,Books,COD
42,Chhattisgarh,46,7,261635,5,5,9,Loyal Customers,0,0.01,Low Risk,Home,COD
43,Telangana,28,9,343846,5,4,2,Champions,0,0.01,Low Risk,Home,NetBanking
44,Himachal Pradesh,139,5,282982,1,4,4,Lost,1,0.98,High Risk,Home,COD
45,Nagaland,130,4,138080,1,1,3,Lost,1,0.99,High Risk,Books,NetBanking
46,Himachal Pradesh,45,8,293931,5,7,2,Loyal Customers,0,0.02,Low Risk,Grocery,NetBanking
47,Uttarakhand,79,7,387747,6,2,6,At Risk,0,0.01,Low Risk,Grocery,NetBanking
48,Kerala,48,5,212762,6,2,4,Loyal Customers,0,0.01,Low Risk,Grocery,NetBanking
49,Haryana,26,3,115428,6,2,3,Loyal Customers,0,0.01,Low Risk,Grocery,COD
50,Arunachal Pradesh,20,10,466013,4,4,0,Champions,0,0.01,Low Risk,Grocery,UPI
51,Meghalaya,571,1,23877,2,2,3,Potential Loyalist,1,0.98,High Risk,Books,UPI
52,Odisha,114,11,271598,4,4,3,At Risk,1,0.98,High Risk,Books,UPI
53,Bihar,105,2,29932,1,7,2,Potential Loyalist,1,0.97,High Risk,Grocery,UPI
54,Nagaland,111,6,197568,4,3,1,At Risk,1,0.98,High Risk,Home,UPI
55,Gujarat,232,7,348142,4,4,3,Lost,1,1.0,High Risk,Fashion,NetBanking
56,Telangana,257,10,483913,4,2,4,Lost,1,0.97,High Risk,Books,Card
57,Telangana,37,5,182401,4,2,2,Loyal Customers,0,0.0,,Mobiles,Card
58,Telangana,582,3,134754,0,3,2,Lost,1,0.99,High Risk,Sports,UPI
59,Chhattisgarh,71,12,328412,4,1,4,At Risk,0,0.0,,Fashion,UPI
60,West Bengal,136,7,261983,4,5,3,Lost,1,0.98,High Risk,Home,NetBanking
61,Tamil Nadu,130,5,101134,2,3,3,Lost,1,0.99,High Risk,Home,NetBanking
62,Uttar Pradesh,90,5,191421,5,2,4,At Risk,1,0.98,High Risk,Sports,Card
63,Andhra Pradesh,53,5,237833,7,3,2,Loyal Customers,0,0.02,Low Risk,Books,COD
64,Uttarakhand,59,6,100829,4,5,1,Loyal Customers,0,0.0,,Books,NetBanking
65,Bihar,170,3,94644,4,1,4,Lost,1,0.98,High Risk,Home,Card
66,Kerala,32,6,170606,2,5,5,Loyal Customers,0,0.0,,Books,Card
67,Bihar,285,2,64097,2,3,4,Lost,1,0.99,High Risk,Mobiles,UPI
68,Maharashtra,451,5,154122,5,1,3,Lost,1,0.99,High Risk,Fashion,COD
69,Bihar,36,7,173933,1,3,2,Loyal Customers,0,0.01,Low Risk,Grocery,COD
70,Gujarat,59,3,87795,4,3,2,Loyal Customers,0,0.02,Low Risk,Home,COD
71,Odisha,42,2,68622,2,5,4,Potential Loyalist,0,0.05,Low Risk,Home,UPI
72,Punjab,79,5,101600,1,4,1,At Risk,0,0.06,Low Risk,Books,COD
73,Sikkim,190,7,183458,4,2,2,Lost,1,1.0,High Risk,Electronics,UPI
74,Jharkhand,132,5,161912,4,4,3,Lost,1,0.98,High Risk,Grocery,NetBanking
75,Haryana,25,6,354602,4,4,6,Champions,0,0.02,Low Risk,Books,Card
76,Karnataka,43,4,127457,2,3,4,Loyal Customers,0,0.04,Low Risk,Sports,NetBanking
77,Sikkim,113,2,76050,3,5,4,Potential Loyalist,1,0.99,High Risk,Grocery,NetBanking
78,Kerala,56,8,238984,2,1,3,Loyal Customers,0,0.0,,Grocery,Card
79,Telangana,178,5,88969,5,1,1,Lost,1,0.96,High Risk,Sports,COD
80,Telangana,157,7,322404,2,7,3,Lost,1,0.99,High Risk,Books,Card
81,Chhattisgarh,77,6,238089,2,3,0,At Risk,0,0.01,Low Risk,Mobiles,UPI
82,Telangana,155,10,437845,4,7,3,Lost,1,0.99,High Risk,Books,Card
83,Karnataka,13,6,90844,3,5,7,Champions,0,0.0,,Books,NetBanking
84,Maharashtra,3,8,269061,1,0,2,Champions,0,0.01,Low Risk,Fashion,COD
85,Goa,36,1,22510,1,2,2,Potential Loyalist,0,0.06,Low Risk,Electronics,Card
86,Nagaland,33,4,111913,5,2,4,Loyal Customers,0,0.0,,Grocery,COD
87,Telangana,30,4,89487,2,5,1,Loyal Customers,0,0.01,Low Risk,Home,NetBanking
88,Uttar Pradesh,512,4,93863,1,7,2,Lost,1,0.98,High Risk,Electronics,UPI
89,Assam,456,4,164582,3,1,1,Lost,1,0.97,High Risk,Home,Card
90,Jharkhand,3,6,516572,9,5,2,Champions,0,0.01,Low Risk,Books,Card
91,Gujarat,198,6,260659,3,4,2,Lost,1,1.0,High Risk,Mobiles,Card
92,Maharashtra,43,5,111739,3,4,9,Loyal Customers,0,0.01,Low Risk,Sports,COD
93,Manipur,14,11,428973,6,6,2,Champions,0,0.02,Low Risk,Books,NetBanking
94,Uttarakhand,97,6,147298,2,7,2,At Risk,1,0.98,High Risk,Home,COD
95,Maharashtra,118,4,49306,1,4,1,At Risk,1,0.99,High Risk,Sports,Card
96,Arunachal Pradesh,52,4,197126,1,1,5,Loyal Customers,0,0.03,Low Risk,Fashion,Card
97,Chhattisgarh,148,9,279678,1,3,5,Lost,1,1.0,High Risk,Fashion,Card
98,Maharashtra,182,8,229047,2,1,7,Lost,1,0.98,High Risk,Fashion,UPI
99,Uttarakhand,109,3,83811,2,4,3,At Risk,1,1.0,High Risk,Mobiles,NetBanking
100,Gujarat,25,7,390228,2,3,2,Champions,0,0.03,Low Risk,Books,NetBanking
101,Mizoram,64,6,120854,2,3,1,At Risk,0,0.0,,Books,NetBanking
102,Sikkim,52,4,178904,2,4,5,Loyal Customers,0,0.02,Low Risk,Sports,NetBanking
103,Arunachal Pradesh,42,7,265340,1,4,4,Loyal Customers,0,0.0,,Grocery,NetBanking
104,Haryana,7,5,218209,5,2,5,Champions,0,0.03,Low Risk,Fashion,NetBanking
105,Manipur,411,3,103720,3,2,5,Lost,1,1.0,High Risk,Books,NetBanking
106,Rajasthan,217,4,141563,4,4,7,Lost,1,1.0,High Risk,Mobiles,Card
107,Rajasthan,16,7,240428,3,4,2,Champions,0,0.0,,Fashion,UPI
108,Rajasthan,50,9,195160,3,3,2,Loyal Customers,0,0.01,Low Risk,Books,Card
109,Tripura,151,4,201685,2,4,5,Lost,1,0.98,High Risk,Home,COD
110,Jharkhand,25,3,106752,1,3,8,Loyal Customers,0,0.04,Low Risk,Fashion,COD
111,Assam,95,8,304193,4,1,6,At Risk,1,0.98,High Risk,Books,NetBanking
112,Jharkhand,90,6,221504,2,6,5,At Risk,1,0.88,High Risk,Books,NetBanking
113,Uttar Pradesh,135,5,251026,1,4,5,Lost,1,1.0,High Risk,Sports,UPI
114,Assam,132,5,128136,6,3,4,Lost,1,0.98,High Risk,Home,UPI
115,Haryana,332,3,103982,4,6,1,Lost,1,1.0,High Risk,Sports,UPI
116,Madhya Pradesh,33,7,340407,5,5,0,Loyal Customers,0,0.02,Low Risk,Books,COD
117,Gujarat,99,7,360631,3,2,2,At Risk,1,0.98,High Risk,Mobiles,COD
118,Madhya Pradesh,54,4,170615,3,5,1,Loyal Customers,0,0.0,,Home,NetBanking
119,Meghalaya,93,9,536072,1,4,4,At Risk,1,0.97,High Risk,Home,Card
120,Uttarakhand,21,11,549244,3,0,4,Champions,0,0.0,,Electronics,UPI
121,Uttar Pradesh,44,6,295402,3,2,3,Loyal Customers,0,0.01,Low Risk,Home,Card
122,Manipur,173,5,71845,0,1,5,Lost,1,0.98,High Risk,Home,NetBanking
123,Uttar Pradesh,85,5,144044,2,4,5,At Risk,0,0.07,Low Risk,Sports,COD
124,Andhra Pradesh,186,7,417822,3,3,5,Lost,1,0.97,High Risk,Mobiles,Card
125,Telangana,270,6,152508,5,6,4,Lost,1,1.0,High Risk,Fashion,COD
126,Manipur,132,6,161716,6,4,2,Lost,1,1.0,High Risk,Sports,COD
127,Arunachal Pradesh,164,5,132696,4,1,4,Lost,1,0.98,High Risk,Sports,Card
128,Uttar Pradesh,68,6,148542,7,3,7,At Risk,0,0.04,Low Risk,Mobiles,NetBanking
129,Mizoram,30,7,288887,6,2,3,Loyal Customers,0,0.0,,Sports,COD
130,Tamil Nadu,238,4,271415,5,2,4,Lost,1,0.99,High Risk,Sports,UPI
131,Maharashtra,17,4,137608,2,4,3,Loyal Customers,0,0.01,Low Risk,Sports,Card
132,Maharashtra,5,7,200082,4,2,5,Champions,0,0.0,,Home,COD
133,Meghalaya,29,4,146258,3,8,4,Loyal Customers,0,0.02,Low Risk,Electronics,UPI
134,Assam,3,5,193392,1,5,4,Champions,0,0.0,,Mobiles,COD
135,Telangana,138,7,59301,2,3,2,Lost,1,1.0,High Risk,Home,NetBanking
136,Arunachal Pradesh,110,2,1344,3,6,6,Potential Loyalist,1,0.96,High Risk,Grocery,Card
137,Uttarakhand,26,6,186199,1,5,1,Champions,0,0.0,,Home,UPI
138,Sikkim,66,8,335827,4,3,5,At Risk,0,0.0,,Sports,NetBanking
139,Sikkim,197,8,275179,4,3,2,Lost,1,0.98,High Risk,Mobiles,COD
140,Kerala,104,7,248038,5,5,4,At Risk,1,0.99,High Risk,Books,UPI
141,Tamil Nadu,58,5,280610,2,4,2,Loyal Customers,0,0.03,Low Risk,Mobiles,COD
142,Andhra Pradesh,244,2,116511,2,3,3,Lost,1,0.99,High Risk,Sports,NetBanking
143,Punjab,25,11,592096,8,4,2,Champions,0,0.01,Low Risk,Grocery,NetBanking
144,Kerala,43,8,416371,1,5,3,Loyal Customers,0,0.03,Low Risk,Home,COD
145,Andhra Pradesh,70,8,318415,8,5,2,At Risk,0,0.01,Low Risk,Electronics,Card
146,Odisha,382,2,67592,3,1,5,Lost,1,0.98,High Risk,Fashion,NetBanking
147,Haryana,28,11,372174,2,3,2,Champions,0,0.0,,Fashion,COD
148,Himachal Pradesh,509,2,106435,5,1,5,Lost,1,0.99,High Risk,Mobiles,NetBanking
149,Meghalaya,49,6,100603,3,1,1,Loyal Customers,0,0.0,,Books,Card
150,Kerala,45,5,206094,3,3,2,Loyal Customers,0,0.01,Low Risk,Books,NetBanking
151,Nagaland,43,8,437203,4,4,5,Loyal Customers,0,0.01,Low Risk,Electronics,COD
152,Goa,137,6,341725,4,2,6,Lost,1,0.99,High Risk,Books,NetBanking
153,Manipur,32,5,207002,1,2,6,Loyal Customers,0,0.0,,Mobiles,COD
154,Mizoram,13,8,272486,5,2,3,Champions,0,0.0,,Grocery,COD
155,Sikkim,116,4,222140,2,3,5,At Risk,1,0.98,High Risk,Sports,UPI
156,Goa,25,8,344872,1,3,1,Champions,0,0.0,,Electronics,NetBanking
157,Chhattisgarh,101,6,300443,3,3,3,At Risk,1,1.0,High Risk,Books,NetBanking
158,Andhra Pradesh,64,5,249894,4,4,4,At Risk,0,0.0,,Books,NetBanking
159,Tripura,56,6,216829,3,5,2,Loyal Customers,0,0.0,,Electronics,NetBanking
160,Tripura,10,10,349889,3,4,5,Champions,0,0.0,,Mobiles,NetBanking
161,Gujarat,70,11,328820,5,3,2,At Risk,0,0.0,,Fashion,UPI
162,Uttar Pradesh,15,4,129765,4,5,2,Loyal Customers,0,0.03,Low Risk,Fashion,Card
163,Punjab,305,3,133139,3,2,2,Lost,1,1.0,High Risk,Mobiles,UPI
164,Chhattisgarh,5,5,240600,3,3,4,Champions,0,0.01,Low Risk,Home,NetBanking
165,Punjab,510,4,58000,3,4,3,Lost,1,1.0,High Risk,Sports,NetBanking
166,Maharashtra,162,6,72996,3,0,1,Lost,1,0.97,High Risk,Grocery,COD
167,Bihar,130,5,112607,0,2,5,Lost,1,0.99,High Risk,Sports,NetBanking
168,Jharkhand,32,11,565664,6,4,4,Loyal Customers,0,0.01,Low Risk,Grocery,NetBanking
169,Tripura,6,5,133592,6,4,1,Champions,0,0.0,,Mobiles,COD
170,Arunachal Pradesh,14,8,292335,3,0,1,Champions,0,0.01,Low Risk,Fashion,UPI
171,Gujarat,6,5,275651,4,2,3,Champions,0,0.02,Low Risk,Books,Card
172,Karnataka,13,7,203137,7,4,9,Champions,0,0.0,,Grocery,COD
173,Goa,42,6,120110,2,2,2,Loyal Customers,0,0.02,Low Risk,Grocery,COD
174,Meghalaya,39,9,376801,2,4,5,Loyal Customers,0,0.0,,Books,COD
175,Punjab,10,11,630020,1,2,2,Champions,0,0.01,Low Risk,Fashion,NetBanking
176,Telangana,535,2,37314,5,5,2,Lost,1,1.0,High Risk,Home,UPI
177,Telangana,66,7,177514,3,1,2,At Risk,0,0.02,Low Risk,Books,Card
178,Rajasthan,33,7,187249,4,1,4,Loyal Customers,0,0.0,,Sports,NetBanking
179,Chhattisgarh,6,5,116045,2,4,2,Champions,0,0.02,Low Risk,Books,NetBanking
180,Punjab,15,7,241968,1,0,7,Champions,0,0.0,,Books,Card
181,West Bengal,83,5,211357,5,4,3,At Risk,0,0.01,Low Risk,Sports,NetBanking
183,Mizoram,3,6,204275,5,3,6,Champions,0,0.0,,Fashion,UPI
184,Karnataka,17,5,279296,0,4,2,Champions,0,0.16,Low Risk,Fashion,COD
185,Jharkhand,465,4,81266,3,2,6,Lost,1,1.0,High Risk,Sports,NetBanking
186,West Bengal,15,7,373413,6,6,3,Champions,0,0.05,Low Risk,Grocery,Card
187,Karnataka,318,3,47255,2,4,3,Lost,1,0.96,High Risk,Grocery,COD
188,Telangana,24,12,489987,5,2,3,Champions,0,0.0,,Grocery,UPI
189,Meghalaya,11,8,343271,1,5,6,Champions,0,0.02,Low Risk,Grocery,COD
190,Karnataka,62,5,71699,3,3,3,At Risk,0,0.05,Low Risk,Electronics,UPI
191,Uttarakhand,38,8,245997,5,7,2,Loyal Customers,0,0.05,Low Risk,Grocery,UPI
192,Uttar Pradesh,19,4,290726,1,5,5,Loyal Customers,0,0.01,Low Risk,Books,Card
193,Punjab,207,8,335949,2,5,2,Lost,1,1.0,High Risk,Home,UPI
194,Uttar Pradesh,242,3,184082,3,5,4,Lost,1,0.94,High Risk,Books,UPI
195,Madhya Pradesh,10,4,122845,3,2,3,Loyal Customers,0,0.0,,Home,COD
196,Haryana,26,9,276834,4,3,4,Champions,0,0.0,,Grocery,COD
197,Goa,107,9,366669,9,4,1,At Risk,1,0.93,High Risk,Books,UPI
198,Himachal Pradesh,147,4,133115,4,4,2,Lost,1,1.0,High Risk,Mobiles,NetBanking
199,Himachal Pradesh,164,8,364868,0,4,1,Lost,1,1.0,High Risk,Books,Card
200,Punjab,175,11,389666,5,1,4,Lost,1,0.98,High Risk,Grocery,UPI
201,Rajasthan,21,5,205418,3,3,2,Champions,0,0.01,Low Risk,Electronics,COD
202,Tripura,150,9,366166,3,0,0,Lost,1,0.99,High Risk,Electronics,NetBanking
203,Mizoram,150,10,497283,4,0,7,Lost,1,0.94,High Risk,Mobiles,COD
204,Punjab,125,7,230953,3,2,3,Lost,1,1.0,High Risk,Books,UPI
205,Goa,45,4,171855,6,6,1,Loyal Customers,0,0.03,Low Risk,Sports,Card
206,West Bengal,132,3,111085,9,4,4,Lost,1,0.97,High Risk,Mobiles,COD
207,Bihar,112,5,219392,2,2,3,At Risk,1,0.98,High Risk,Electronics,NetBanking
208,Manipur,58,7,329542,5,3,2,Loyal Customers,0,0.0,,Fashion,COD
209,Kerala,53,9,308044,4,7,5,Loyal Customers,0,0.04,Low Risk,Sports,Card
210,Andhra Pradesh,96,6,179389,1,3,4,At Risk,1,0.97,High Risk,Sports,COD
211,Jharkhand,198,7,167809,2,5,1,Lost,1,1.0,High Risk,Grocery,COD
212,Madhya Pradesh,57,3,61558,6,2,7,Loyal Customers,0,0.02,Low Risk,Fashion,UPI
213,Mizoram,55,8,361499,4,5,5,Loyal Customers,0,0.0,,Sports,COD
214,Sikkim,24,4,131969,4,5,9,Loyal Customers,0,0.01,Low Risk,Home,Card
215,Jharkhand,36,4,171001,5,5,1,Loyal Customers,0,0.0,,Home,NetBanking
216,Himachal Pradesh,157,6,275321,4,4,3,Lost,1,1.0,High Risk,Books,NetBanking
217,Uttarakhand,28,8,262320,6,1,5,Champions,0,0.0,,Grocery,NetBanking
218,Tripura,34,8,293637,3,5,5,Loyal Customers,0,0.0,,Books,UPI
219,Rajasthan,509,2,135807,3,4,1,Lost,1,0.97,High Risk,Home,Card
220,Bihar,10,3,106435,2,2,4,Loyal Customers,0,0.08,Low Risk,Sports,COD
221,Meghalaya,22,3,137694,3,5,8,Loyal Customers,0,0.0,,Sports,NetBanking
222,Assam,27,6,367063,2,1,3,Champions,0,0.0,,Sports,Card
223,Karnataka,9,5,215403,5,4,6,Champions,0,0.01,Low Risk,Fashion,Card
224,Uttarakhand,113,3,117453,0,5,5,At Risk,1,0.95,High Risk,Fashion,COD
225,Telangana,209,7,312674,4,4,6,Lost,1,0.98,High Risk,Grocery,COD
226,West Bengal,198,7,230754,2,3,4,Lost,1,0.99,High Risk,Fashion,UPI
227,Meghalaya,9,5,151523,4,4,2,Champions,0,0.01,Low Risk,Sports,Card
228,Madhya Pradesh,49,6,195076,2,6,4,Loyal Customers,0,0.01,Low Risk,Mobiles,NetBanking
229,West Bengal,3,5,54500,4,5,1,Champions,0,0.02,Low Risk,Grocery,COD
230,Madhya Pradesh,59,5,92970,8,3,1,Loyal Customers,0,0.03,Low Risk,Sports,Card
231,Himachal Pradesh,39,9,294445,7,5,4,Loyal Customers,0,0.01,Low Risk,Fashion,NetBanking
232,Meghalaya,162,6,217768,1,2,4,Lost,1,1.0,High Risk,Books,COD
233,Madhya Pradesh,55,9,468256,2,1,2,Loyal Customers,0,0.02,Low Risk,Fashion,NetBanking
234,Gujarat,116,5,360842,2,1,4,At Risk,1,1.0,High Risk,Grocery,NetBanking
235,Assam,27,6,311755,4,3,5,Champions,0,0.0,,Books,NetBanking
236,Kerala,43,9,336030,0,3,3,Loyal Customers,0,0.03,Low Risk,Books,Card
237,Mizoram,299,8,345575,2,3,5,Lost,1,1.0,High Risk,Grocery,Card
238,West Bengal,157,7,225728,2,2,4,Lost,1,0.98,High Risk,Grocery,Card
239,Odisha,187,6,154665,9,2,2,Lost,1,0.99,High Risk,Home,NetBanking
240,West Bengal,265,6,185884,1,2,4,Lost,1,0.99,High Risk,Grocery,COD
241,Rajasthan,77,5,140673,1,6,5,At Risk,0,0.06,Low Risk,Books,NetBanking
242,Karnataka,235,4,124297,1,4,10,Lost,1,1.0,High Risk,Sports,Card
243,Gujarat,17,7,253688,3,2,3,Champions,0,0.02,Low Risk,Electronics,COD
244,West Bengal,348,4,103329,5,4,2,Lost,1,0.98,High Risk,Sports,Card
245,Assam,20,11,447363,6,1,5,Champions,0,0.0,,Fashion,NetBanking
246,Telangana,8,10,467658,4,2,5,Champions,0,0.0,,Sports,COD
247,Odisha,119,10,236567,5,2,3,At Risk,1,0.98,High Risk,Electronics,UPI
248,Maharashtra,14,12,375697,3,3,3,Champions,0,0.0,,Grocery,NetBanking
249,Sikkim,2,3,65346,2,4,3,Loyal Customers,0,0.0,,Sports,COD
250,Nagaland,279,2,15166,2,5,1,Lost,1,0.98,High Risk,Sports,NetBanking
251,Meghalaya,136,2,25156,0,3,4,Lost,1,0.98,High Risk,Home,Card
252,Chhattisgarh,127,9,376681,1,6,4,Lost,1,0.96,High Risk,Grocery,Card
253,Punjab,117,5,219720,2,5,4,At Risk,1,0.94,High Risk,Books,Card
254,Telangana,17,9,295257,4,5,4,Champions,0,0.0,,Fashion,UPI
255,Manipur,95,6,296235,4,6,3,At Risk,1,1.0,High Risk,Books,COD
256,Nagaland,175,11,348106,0,5,5,Lost,1,1.0,High Risk,Sports,UPI
257,Kerala,77,5,173213,6,5,3,At Risk,0,0.0,,Home,Card
258,West Bengal,413,3,103090,8,3,1,Lost,1,0.92,High Risk,Grocery,Card
259,Gujarat,44,5,304928,8,4,2,Loyal Customers,0,0.0,,Sports,Card
260,Bihar,10,7,266862,1,3,2,Champions,0,0.01,Low Risk,Books,COD
261,Odisha,50,9,431190,3,2,1,Loyal Customers,0,0.02,Low Risk,Mobiles,UPI
262,Haryana,73,12,530105,2,3,4,At Risk,0,0.01,Low Risk,Mobiles,NetBanking
263,Andhra Pradesh,80,6,268483,2,5,1,At Risk,0,0.03,Low Risk,Books,Card
264,Andhra Pradesh,15,10,422821,4,3,4,Champions,0,0.02,Low Risk,Electronics,NetBanking
265,West Bengal,15,5,151534,3,2,6,Champions,0,0.01,Low Risk,Sports,COD
266,Mizoram,67,8,300318,2,1,2,At Risk,0,0.01,Low Risk,Books,UPI
267,Telangana,67,5,154015,1,4,2,At Risk,0,0.03,Low Risk,Fashion,NetBanking
268,Mizoram,287,5,233426,6,1,5,Lost,1,0.96,High Risk,Books,COD
269,Telangana,339,5,159513,2,3,1,Lost,1,0.98,High Risk,Sports,COD
270,Karnataka,83,4,170496,2,4,2,At Risk,0,0.03,Low Risk,Mobiles,Card
271,Tamil Nadu,4,10,331240,5,5,2,Champions,0,0.0,,Books,COD
272,Tamil Nadu,108,4,180382,1,5,2,At Risk,1,0.98,High Risk,Home,COD
273,Rajasthan,123,10,596917,2,4,0,Lost,1,0.92,High Risk,Home,NetBanking
274,Nagaland,69,7,424290,1,2,8,At Risk,0,0.02,Low Risk,Books,COD
275,Chhattisgarh,194,7,61008,4,6,2,Lost,1,0.96,High Risk,Books,NetBanking
276,Haryana,29,9,268843,3,2,2,Champions,0,0.0,,Electronics,NetBanking
277,Sikkim,279,7,407071,4,2,5,Lost,1,0.99,High Risk,Books,Card
278,Telangana,501,1,37846,6,2,8,Potential Loyalist,1,0.96,High Risk,Sports,UPI
279,Mizoram,58,6,292876,5,2,2,Loyal Customers,0,0.0,,Fashion,Card
280,Andhra Pradesh,314,5,442142,3,5,4,Lost,1,0.98,High Risk,Fashion,UPI
281,Haryana,9,4,236257,2,4,4,Loyal Customers,0,0.0,,Sports,COD
282,Punjab,126,6,165742,5,4,4,Lost,1,1.0,High Risk,Fashion,UPI
283,Sikkim,55,8,340943,4,1,7,Loyal Customers,0,0.0,,Sports,UPI
284,Bihar,375,4,193793,6,2,4,Lost,1,0.99,High Risk,Mobiles,NetBanking
285,Uttar Pradesh,42,5,139344,2,3,3,Loyal Customers,0,0.02,Low Risk,Sports,Card
286,Mizoram,206,6,323407,1,2,3,Lost,1,0.99,High Risk,Books,UPI
287,Tamil Nadu,189,7,239946,5,3,3,Lost,1,0.99,High Risk,Home,COD
288,Gujarat,148,5,223999,4,3,3,Lost,1,1.0,High Risk,Home,NetBanking
289,Jharkhand,212,6,342252,8,2,2,Lost,1,0.98,High Risk,Mobiles,Card
290,Tamil Nadu,434,4,172481,3,3,2,Lost,1,0.98,High Risk,Books,COD
291,Uttarakhand,37,5,149545,4,3,2,Loyal Customers,0,0.0,,Mobiles,NetBanking
292,Tamil Nadu,1,8,292084,7,3,0,Champions,0,0.0,,Grocery,Card
293,Kerala,132,10,347637,0,2,2,Lost,1,0.98,High Risk,Mobiles,UPI
294,Odisha,43,11,426093,0,5,2,Loyal Customers,0,0.13,Low Risk,Books,NetBanking
295,Arunachal Pradesh,38,7,208785,2,1,2,Loyal Customers,0,0.0,,Grocery,UPI
296,Madhya Pradesh,24,6,156520,3,4,3,Champions,0,0.02,Low Risk,Home,COD
297,Gujarat,165,7,368903,2,1,5,Lost,1,1.0,High Risk,Books,UPI
298,Arunachal Pradesh,214,9,333708,4,2,5,Lost,1,0.98,High Risk,Mobiles,NetBanking
299,Assam,10,5,141352,1,4,4,Champions,0,0.03,Low Risk,Sports,UPI
300,Telangana,37,8,257483,4,5,1,Loyal Customers,0,0.0,,Home,NetBanking
301,Uttarakhand,9,6,385783,4,9,4,Champions,0,0.05,Low Risk,Fashion,UPI
302,Odisha,272,5,179197,2,8,4,Lost,1,0.98,High Risk,Fashion,NetBanking
303,Chhattisgarh,152,7,370489,1,4,2,Lost,1,0.99,High Risk,Home,UPI
304,Haryana,100,6,210563,1,2,2,At Risk,1,0.97,High Risk,Books,COD
